id,(Intercept),conditioncancer
Bacteria;Bacillota_A,5.882504020994145,1.5818181755144258
Bacteria;,10.151599429854135,0.28827540802960316
;,8.362378309209362,0.2887444274320864
Bacteria;Bacteroidota,6.644390451228684,1.5944869827899701
Bacteria;Fusobacteriota,2.128849948375575,4.316502041233558
Bacteria;Pseudomonadota,8.750647837913627,-1.2611647562670263
Bacteria;Actinomycetota,4.852406679452941,-2.729382066417253
Bacteria;Campylobacterota,-0.9925467631429054,3.4489239719892693
Bacteria;Patescibacteria,2.4383346195429034,1.4105374962316246
Bacteria;Bacillota_I,3.1512967275148034,-1.0050007681567386
Bacteria;Planctomycetota,-0.8539173270309163,-0.07203094164231583
Bacteria;Bacillota,4.882373679556526,-0.36643979534053683
Archaea;,0.642988501778855,-0.3782881035945299
Bacteria;Deinococcota,-0.4097663120816336,-0.5161819565915986
Bacteria;Bacillota_C,0.7484957907220602,1.5901059335851233
Bacteria;Cyanobacteriota,-1.3817287929539679,1.3903462911731168
Bacteria;Verrucomicrobiota,-0.15548349505733938,-0.770464773615893
Bacteria;Myxococcota,-0.9925467631429052,0.06659849446967314
Bacteria;Acidobacteriota,-1.023376899108357,0.09742863043512484
