id,(Intercept),conditioncancer
Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae,5.364007261979787,1.387268576684515
Bacteria;;;;,10.92445978357491,0.38092251461030113
;;;;,9.135238662930139,0.3813915340127826
Bacteria;Bacillota_A;Clostridia;Clostridiales;Clostridiaceae,3.936608898498445,-3.297748194576913
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae,6.313744825673245,2.7528543936732017
Bacteria;Bacillota_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae,2.6459513406536823,1.9508358433410238
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,2.9004213610078176,4.2746770901566915
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,7.61808903250908,-0.6653836859671298
Bacteria;Pseudomonadota;;;,5.614383914804721,-2.9936955660742
Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae,4.8173673226271285,-1.180484127408411
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae,3.3281724968339255,-3.388613305205688
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae,-0.2196864094221348,3.5415710785699677
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae,8.797732331231234,-0.944909911934674
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae,0.9336203276218006,0.35963750633616176
Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteraceae,0.4061663238135679,-0.4666071321853318
Bacteria;Pseudomonadota;Gammaproteobacteria;;,1.5692758114109715,-0.5834948964118181
Bacteria;Patescibacteria;;;,1.6839227177045522,0.327362737698652
Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales;Erysipelotrichaceae,2.3704862024262567,-1.6154195220168774
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae,-0.08105697331014605,0.020616164938382253
Bacteria;Bacillota;Bacilli;Staphylococcales;Gemellaceae,0.6802755246439175,2.8014009852301487
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae,4.475585473375376,-3.3352488683258312
Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,6.127031283471459,-5.140183699277232
Bacteria;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae,2.0405427250391313,-0.15705857166622705
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,3.998585461009368,-2.764248130110677
Bacteria;Bacillota_A;Clostridia;Christensenellales;CAG-314,0.3101555307937208,-0.37059633916548484
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae,-0.05435069478524179,2.883783768607234
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae,4.143955069922878,-3.3726192616227073
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae,0.23503310180202408,1.178194027088488
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae,2.5198922887133115,1.5551330998432213
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae,4.430417007135547,-2.7095791340956383
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,3.655997390598314,-2.999734411278855
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Neisseriaceae,0.009340051438465391,1.9263644067651564
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae,1.755119453911103,-1.815560262282868
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae,-0.1292893846735234,0.4272004701473706
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae,5.259571865050109,-2.8049134769636583
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae,5.804933120750187,-4.972192305391033
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae,2.9444651845644216,-3.004905992936185
Archaea;;;;,1.4158488554996254,-0.28564099701383205
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae,0.671183049828567,-0.14273606236704295
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Micrococcaceae,-0.6088684392331977,1.411925253568696
Bacteria;Pseudomonadota;Gammaproteobacteria;Ga0077554;Ga007554,-0.009721984522399252,-0.05071882384936477
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae,0.4023807218364638,1.4523972657613964
Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae,0.8071368607513204,-0.8675776691230843
Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales;Coprobacillaceae,1.9322027431349809,0.9928734795095804
Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae,0.36309404163913683,-0.4235348500109005
Bacteria;Patescibacteria;Microgenomatia;Levybacterales;,0.36769194528407634,0.5422732991280834
Bacteria;Bacillota_A;Clostridia;Tissierellales;Peptoniphilaceae,0.3736625379140127,1.316254832269336
Bacteria;Bacillota_A;Clostridia;Peptostreptococcales;Anaerovoracaceae,0.6308273040652642,2.843709780030845
Bacteria;Patescibacteria;Microgenomatia;;,2.8769651415910062,0.24032450953634726
Bacteria;Bacillota_A;Clostridia;Lachnospirales;Anaerotignaceae,0.057572462801842916,1.8707205972601852
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae,-0.11188710927559747,0.051446300903833564
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Devosiaceae,0.40988160092815507,-0.47032240929991853
Bacteria;Bacillota_C;Negativicutes;Acidaminococcales;Acidaminococcaceae,0.9222096897320337,1.0161978850571214
Bacteria;Bacteroidota;Bacteroidia;B-17B0;B-17BO,-0.6088684392331979,2.04664514956841
Bacteria;Bacillota_A;Clostridia;Christensenellales;CAG-138,0.6356468143810764,-0.6960876227528403
Bacteria;Bacteroidota;Bacteroidia;;,0.33303760102926916,0.26568896379983287
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae,0.14337158390551508,2.7035223284181558
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0.6859097000372575,-0.7463505084090214
Bacteria;Bacillota_A;Clostridia;TANB77;CAG-508,1.2061731003637401,-0.5673123964422082
Bacteria;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae,-0.6088684392331978,1.4829933977538152
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932,0.2954892761766108,-0.3559300845483747
Bacteria;Bacillota_A;Clostridia;Oscillospirales;,0.2820010200175045,-0.3424418283892685
Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae,1.369455036759931,0.6736224600194294
Bacteria;Bacillota_C;Negativicutes;Veillonellales;Dialisteraceae,-0.6088684392331977,1.3605162329707179
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae,1.2147765773804777,-0.3582238900181267
Bacteria;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae,-0.6088684392331976,1.0614175023537409
Bacteria;Bacillota_I;Bacilli_A;RF39;UBA660,0.8200129968310305,-0.29156600936950616
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;UBA1829,-0.12928938467352336,0.06884857630175945
Bacteria;Bacillota_A;Clostridia;Peptostreptococcales;Filifactoraceae,-0.6088684392331978,1.524988015378708
Bacteria;Bacillota_A;Clostridia;;,-0.6088684392331979,1.6782224784936755
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae,0.009340051438465502,0.6824591633284832
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae,0.4171113037514175,0.8274538194455112
Bacteria;Myxococcota;Polyangia;Polyangiales;JADJMO01,-0.21968640942213497,0.1592456010503711
Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae,0.3919208219558946,-0.4523616303276585
Bacteria;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae,-0.6088684392331974,1.4991456690827065
Bacteria;Bacillota_A;Clostridia;Oscillospirales;CAG-272,0.5292034516316145,-0.5896442600033784
Bacteria;Acidobacteriota;Terriglobia;Acidoferrales;UBA7541,-0.25051654538758683,0.19007573701582314
Bacteria;Patescibacteria;Paceibacteria;UBA9973;UBA2103,-0.6088684392331974,1.0089446494602425
