id,(Intercept),conditioncancer
Bacteria;Bacillota_A;Clostridia,6.896391433285172,1.673920965813337
Bacteria;;,11.165486842145164,0.3803781983285136
;;,9.376265721500394,0.38084721773099495
Bacteria;Bacteroidota;Bacteroidia,7.658277863519712,1.6865897730888813
Bacteria;Fusobacteriota;Fusobacteriia,3.142737360666603,4.408604831532468
Bacteria;Pseudomonadota;Alphaproteobacteria,7.937231476945844,-0.7309024326268645
Bacteria;Pseudomonadota;,5.855410973374979,-2.994239882355988
Bacteria;Actinomycetota;Actinomycetes,5.275986276567949,-2.046971460942319
Bacteria;Campylobacterota;Campylobacteria,0.021340649148123225,3.5410267622881797
Bacteria;Pseudomonadota;Gammaproteobacteria,9.352624469417295,-1.167510922306378
Bacteria;Actinomycetota;Rubrobacteria,0.6471933823838261,-0.46715144846711953
Bacteria;Patescibacteria;,1.9249497762748102,0.32681842141686446
Bacteria;Bacillota_I;Bacilli_A,4.165184139805833,-0.912897977857829
Bacteria;Planctomycetota;Planctomycetia,0.15997008526011264,0.020071848656593838
Bacteria;Bacillota;Bacilli,5.896261091847555,-0.2743370050416273
Bacteria;Actinomycetota;Coriobacteriia,3.1854922431346795,-3.0054503092179736
Archaea;;,1.656875914069883,-0.2861853132956197
Bacteria;Deinococcota;Deinococci,0.6041211002093951,-0.4240791662926886
Bacteria;Patescibacteria;Microgenomatia,3.1790398459552796,1.1491386002444668
Bacteria;Bacillota_C;Negativicutes,1.76238320301309,1.6822087238840329
Bacteria;Cyanobacteriota;Vampirovibrionia,-0.36784138066293925,1.482449081472027
Bacteria;Verrucomicrobiota;Lentisphaeria,0.6459394597811075,-0.46589752586440114
Bacteria;Myxococcota;Polyangia,0.021340649148123392,0.15870128476858308
Bacteria;Acidobacteriota;Terriglobia,-0.009489486817328197,0.18953142073403467
Bacteria;Patescibacteria;Paceibacteria,-0.3678413806629392,1.008400333178455
Bacteria;Verrucomicrobiota;Verrucomicrobiae,0.7742440228120351,-0.5942020888953288
